Ref Des,Mid X(mm),Mid Y(mm),Rotation,Comment,Package,LCSC Part Number
BOOT_BUTTON,48.83,104.09,180.3,BUTTON_CUSYOMV1,MYBUTTON,https://industry.panasonic.com/global/en/products/control/switch/light-touch/number/evqpuj02k
C1,152.52,0.88,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C10,60.77,104.03,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C10_SUPERCAP,97.09,49.69,270,CPH3225A,CAPCP3225X100N,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=eda
C1_BAT,117.47,46.05,180,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C1_BAT1,119.88,26.47,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C1_BAT2,138.17,29.27,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C2,148.95,0.88,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C2_BAT,131.53,48.7,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C3,133.11,29.9,90,100uF TANT,RCL_CT3528,https://componentsearchengine.com/part-view/CPH3225A/Seiko%20Semiconductors
C4,94.16,34.39,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C4_USB,152.34,47.97,0,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C5,20.2,103.86,90,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C5_USB,152.25,44.52,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C6,45.68,103.93,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C7,99.12,37.28,90,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C8,92.21,49.68,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
C9,6.29,89.63,88.9,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
CHANGE_BUTTON,64.16,104.06,180,BUTTON_CUSYOMV1,MYBUTTON,https://industry.panasonic.com/global/en/products/control/switch/light-touch/number/evqpuj02k
CHG_LED,122.04,46.25,90,,ADAFRUIT_CHIP-LED0603,https://www.snapeda.com/parts/KP-1608SURCK/Kingbright/view-part/?ref=search&t=LED%200603
C_DELAY,56.52,88.59,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
D1,152.43,52.47,0,USBLC6-2SC6Y,SOT95P280X145-6N,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=eda
D10,127.17,8.97,90,PGB1010603MR,DIOC1608X36N,https://componentsearchengine.com/part-view/PGB1010603MR/LITTELFUSE
D11,123.3,8.77,90,PGB1010603MR,DIOC1608X36N,https://componentsearchengine.com/part-view/PGB1010603MR/LITTELFUSE
D12,119.23,8.77,90,PGB1010603MR,DIOC1608X36N,https://componentsearchengine.com/part-view/PGB1010603MR/LITTELFUSE
D2,119.88,32.18,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,https://ro.mouser.com/ProductDetail/KYOCERA-AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D
D3,79.22,36,0,MBR0530,SOD3716X135N,https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda
D4,89.06,34.45,0,MBR0530,SOD3716X135N,https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda
D5,89.15,28.9,0,MBR0530,SOD3716X135N,https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda
D6,135.18,9.32,90,PGB1010603MR,DIOC1608X36N,https://componentsearchengine.com/part-view/PGB1010603MR/LITTELFUSE
D7,88.13,64.23,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,https://ro.mouser.com/ProductDetail/KYOCERA-AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D
D8,138.96,9.27,90,PGB1010603MR,DIOC1608X36N,https://componentsearchengine.com/part-view/PGB1010603MR/LITTELFUSE
D9,130.99,9.02,90,PGB1010603MR,DIOC1608X36N,https://componentsearchengine.com/part-view/PGB1010603MR/LITTELFUSE
EPD_C1,99.36,29.42,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
EPD_C10,79.56,14.94,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,https://componentsearchengine.com/part-view/C0402C682K4REC7411/KEMET
